time,gFx,gFy,gFz,TgF
0.499209895,-0.0056,0.9954,-0.0147,0.996
0.510763281,-0.0056,0.9949,-0.0142,0.995
0.52219302,-0.0070,0.9969,-0.0127,0.997
0.522937083,-0.0056,0.9979,-0.0107,0.998
0.523339583,-0.0051,0.9993,-0.0093,0.999
0.52376026,-0.0065,1.0008,-0.0098,1.001
0.52411901,-0.0046,1.0003,-0.0064,1.000
0.524517552,-0.0060,1.0013,-0.0044,1.001
0.52487302,-0.0056,1.0018,-0.0054,1.002
0.525296093,-0.0056,1.0028,-0.0054,1.003
0.525629635,-0.0056,1.0028,-0.0049,1.003
0.53016276,-0.0041,1.0047,-0.0049,1.005
0.531075989,-0.0041,1.0062,-0.0044,1.006
0.534822604,-0.0041,1.0076,-0.0049,1.008
0.535352968,-0.0026,1.0072,-0.0029,1.007
0.538707916,-0.0041,1.0067,-0.0034,1.007
0.539539687,-0.0060,1.0062,-0.0034,1.006
0.544172604,-0.0060,1.0067,-0.0039,1.007
0.544658697,-0.0041,1.0047,-0.0044,1.005
0.54957177,-0.0041,1.0042,-0.0054,1.004
0.550083333,-0.0065,1.0023,-0.0073,1.002
0.554776874,-0.0051,1.0023,-0.0088,1.002
0.555492552,-0.0056,1.0028,-0.0073,1.003
0.567951874,-0.0075,1.0023,-0.0073,1.002
0.569136302,-0.0070,1.0003,-0.0073,1.000
0.569627447,-0.0056,0.9988,-0.0078,0.999
0.570108593,-0.0075,0.9974,-0.0068,0.997
0.570681041,-0.0090,0.9998,-0.0054,1.000
0.571111041,-0.0090,1.0003,-0.0054,1.000
0.575031822,-0.0085,1.0008,-0.0064,1.001
0.576172395,-0.0095,1.0008,-0.0039,1.001
0.579349895,-0.0104,1.0003,-0.0029,1.000
0.580076979,-0.0104,0.9993,-0.0029,0.999
0.585958802,-0.0114,0.9998,-0.0020,1.000
0.586909843,-0.0109,0.9993,-0.0024,0.999
0.590662968,-0.0114,0.9993,-0.0010,0.999
0.591753645,-0.0109,0.9993,0.0005,0.999
0.59515927,-0.0104,1.0013,0.0034,1.001
0.595834687,-0.0109,1.0032,0.0034,1.003
0.599803333,-0.0129,1.0023,0.0054,1.002
0.600598958,-0.0134,1.0032,0.0083,1.003
0.604914166,-0.0144,1.0047,0.0073,1.005
0.605655208,-0.0148,1.0013,0.0093,1.001
0.619790208,-0.0144,0.9979,0.0093,0.998
0.620926197,-0.0148,0.9988,0.0103,0.999
0.621431041,-0.0168,0.9979,0.0078,0.998
0.621819895,-0.0173,0.9988,0.0078,0.999
0.622188958,-0.0148,0.9993,0.0068,0.999
0.622678958,-0.0148,0.9988,0.0083,0.999
0.628387916,-0.0158,0.9993,0.0068,0.999
0.629224791,-0.0148,0.9984,0.0059,0.998
0.629657395,-0.0153,0.9984,0.0059,0.998
0.630078958,-0.0153,0.9969,0.0054,0.997
0.63552026,-0.0173,0.9964,0.0049,0.997
0.636209843,-0.0188,0.9959,0.0049,0.996
0.650746979,-0.0212,0.9954,0.0029,0.996
0.651798854,-0.0197,0.9949,0.0039,0.995
0.652284947,-0.0192,0.9944,0.0020,0.995
0.652740312,-0.0192,0.9944,0.0005,0.995
0.65312427,-0.0212,0.9954,-0.0015,0.996
0.653542395,-0.0222,0.9949,-0.0039,0.995
0.657346822,-0.0207,0.9949,-0.0044,0.995
0.658645104,-0.0222,0.9954,-0.0083,0.996
0.663664947,-0.0207,0.9954,-0.0103,0.996
0.664332343,-0.0183,0.9940,-0.0112,0.994
0.664773697,-0.0188,0.9949,-0.0107,0.995
0.665160885,-0.0188,0.9954,-0.0112,0.996
0.670530989,-0.0158,0.9974,-0.0117,0.998
0.671233385,-0.0144,0.9988,-0.0122,0.999
0.703900729,-0.0144,0.9998,-0.0137,1.000
0.705094947,-0.0144,1.0013,-0.0142,1.001
0.705542031,-0.0124,1.0003,-0.0142,1.000
0.705967968,-0.0104,1.0003,-0.0142,1.000
0.706443801,-0.0100,1.0023,-0.0147,1.002
0.706971979,-0.0090,1.0052,-0.0142,1.005
0.707433333,-0.0075,1.0052,-0.0127,1.005
0.707872447,-0.0051,1.0057,-0.0112,1.006
0.708273333,-0.0031,1.0067,-0.0103,1.007
0.708615416,-0.0031,1.0086,-0.0064,1.009
0.709023229,-0.0070,1.0091,-0.0054,1.009
0.709376562,-0.0065,1.0086,-0.0068,1.009
0.709716666,0.0003,1.0062,-0.0059,1.006
0.710107551,0.0023,1.0047,-0.0039,1.005
0.710660676,-0.0007,1.0032,-0.0010,1.003
0.711061301,-0.0036,1.0042,-0.0005,1.004
0.714817551,-0.0051,1.0037,-0.0005,1.004
0.715529479,-0.0095,1.0042,-0.0020,1.004
0.721497551,-0.0036,1.0028,-0.0044,1.003
0.72205802,-0.0021,1.0047,-0.0059,1.005
0.724947708,-0.0041,1.0081,-0.0049,1.008
0.725799322,-0.0070,1.0072,-0.0059,1.007
0.730717812,-0.0075,1.0086,-0.0078,1.009
0.731310937,-0.0085,1.0086,-0.0088,1.009
0.736384739,-0.0051,1.0076,-0.0117,1.008
0.737104583,-0.0007,1.0032,-0.0142,1.003
0.75220177,-0.0002,1.0032,-0.0151,1.003
0.753254739,-0.0012,1.0023,-0.0142,1.002
0.754078489,-0.0036,1.0023,-0.0166,1.002
0.754866874,-0.0056,1.0028,-0.0195,1.003
0.755302916,-0.0060,1.0023,-0.0220,1.003
0.755694479,-0.0075,1.0037,-0.0230,1.004
0.756081822,-0.0070,1.0023,-0.0235,1.003
0.756496979,-0.0090,1.0018,-0.0230,1.002
0.760049322,-0.0100,1.0003,-0.0220,1.001
0.77339552,-0.0095,0.9984,-0.0230,0.999
0.774102083,-0.0100,0.9959,-0.0235,0.996
0.774698593,-0.0114,0.9969,-0.0239,0.997
0.774990416,-0.0134,0.9969,-0.0235,0.997
0.775337708,-0.0153,0.9974,-0.0244,0.998
0.77566276,-0.0148,0.9974,-0.0235,0.998
0.775940729,-0.0158,0.9964,-0.0235,0.997
0.780368281,-0.0148,0.9969,-0.0210,0.997
0.781176614,-0.0158,0.9979,-0.0210,0.998
0.78593552,-0.0173,0.9979,-0.0176,0.998
0.786494999,-0.0188,0.9969,-0.0176,0.997
0.789970364,-0.0197,0.9974,-0.0176,0.998
0.790675885,-0.0222,1.0003,-0.0171,1.001
0.794805208,-0.0178,1.0018,-0.0166,1.002
